pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,22,0,88,0,,,,,250.9637611000071,,250.94920309999725,250.9637611000071,251.96374269999797,251.96374269999797,251.96374269999797,251.96374269999797,251.96374269999797,252.96286100000725,252.96286100000725,253.76343020000786,x,1,0.7898247999983141,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,22,1,89,1,,,,,253.7786252000078,,253.76421049999772,253.7786252000078,254.77873970000655,254.77873970000655,254.77873970000655,254.77873970000655,254.77873970000655,255.77795750000223,255.77795750000223,256.562402800002,v,1,0.7689119999995455,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,22,2,90,2,,,,,256.5773257999972,,256.5631205999962,256.5773257999972,257.5763991999993,257.5763991999993,257.5763991999993,257.5763991999993,257.5763991999993,258.5761167000019,258.5761167000019,259.3597000000009,c,1,0.7691774999984773,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,22,3,91,3,,,,,259.3751237999968,,259.3604803000053,259.3751237999968,260.3754520000075,260.3754520000075,260.3754520000075,260.3754520000075,260.3754520000075,261.3742607000022,261.3742607000022,262.19145169999683,z,1,0.815278699999908,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,23,0,92,0,,,,,262.206680999996,,262.1922001000057,262.206680999996,263.2063166000007,263.2063166000007,263.2063166000007,263.2063166000007,263.2063166000007,264.2063519000076,264.2063519000076,264.8399533000047,x,1,0.6162391999969259,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,23,1,93,1,,,,,264.8552914000029,,264.8406481999991,264.8552914000029,265.8548143999942,265.8548143999942,265.8548143999942,265.8548143999942,265.8548143999942,266.8541647999955,266.8541647999955,267.15478569999686,v,1,0.29392849998839665,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,23,2,94,2,,,,,267.16997560000164,,267.15554439999687,267.16997560000164,268.1699806999968,268.1699806999968,268.1699806999968,268.1699806999968,268.1699806999968,269.1691842,269.1691842,269.4534182000061,c,1,0.2738209000090137,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,23,3,95,3,,,,,269.46888780000154,,269.4543330000015,269.46888780000154,270.4687172999984,270.4687172999984,270.4687172999984,270.4687172999984,270.4687172999984,271.46829449999495,271.46829449999495,272.2517230999947,z,1,0.778126399993198,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,24,0,96,0,,,,,272.2672737999965,,272.25269059999846,272.2672737999965,273.2669068999967,273.2669068999967,273.2669068999967,273.2669068999967,273.2669068999967,274.266048400008,274.266048400008,275.58288390000234,x,1,1.3006594000034966,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,24,1,97,1,,,,,275.5982134000078,,275.5836563000048,275.5982134000078,276.5981017000013,276.5981017000013,276.5981017000013,276.5981017000013,276.5981017000013,277.59798550000414,277.59798550000414,278.499250199995,v,1,0.8958237000042573,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
