trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
79,0,79,0,141.48314280001796,,141.4706395000103,141.48314280001796,142.48234550000052,142.48234550000052,143.01922810001997,up,1,0.5337338999961503,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
80,0,80,0,143.03218360000756,,143.0204016000207,143.03218360000756,144.03178540000226,144.03178540000226,144.56848310001078,up,1,0.5352284999971744,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
81,0,81,0,144.5811234000139,,144.56968980000238,144.5811234000139,145.5801948000153,145.5801948000153,146.16651629999978,up,1,0.5738882999867201,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
82,0,82,0,146.18005690001883,,146.16780770002515,146.18005690001883,147.17930920000072,147.17930920000072,147.9992735000269,down,1,0.8138556999911088,None,1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
83,0,83,0,148.01205660001142,,148.00047550001182,148.01205660001142,149.01146360000712,149.01146360000712,149.58238230002462,up,0,0.5699746000173036,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
84,0,84,0,149.5947021000029,,149.58356090000598,149.5947021000029,150.59379800001625,150.59379800001625,151.1142965000181,up,0,0.5171875999949407,None,1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
85,0,85,0,151.1268522000173,,151.1155798000109,151.1268522000173,152.1263260000269,152.1263260000269,152.96293110001716,up,1,0.8341845000104513,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
86,0,86,0,152.97562110002036,,152.9640852000157,152.97562110002036,153.9751817000215,153.9751817000215,154.6619689000072,up,1,0.6834284999931697,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
87,0,87,0,154.67466610000702,,154.6631109000009,154.67466610000702,155.67377240001224,155.67377240001224,156.46027340000728,down,1,0.7751368999888655,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
88,0,88,0,156.47412310002255,,156.46137650002493,156.47412310002255,157.47289450000972,157.47289450000972,158.05950870001107,up,1,0.5833735000051092,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
89,0,89,0,158.07236090002698,,158.06073510000715,158.07236090002698,159.07176400002209,159.07176400002209,161.40797430000384,down,1,2.333749399986118,None,-5,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
90,0,90,0,161.42010780001874,,161.40908219999983,161.42010780001874,162.41969150002114,162.41969150002114,162.93926990000182,up,1,0.5063087999878917,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
91,0,91,0,162.95276350001222,,162.94049430001178,162.95276350001222,163.9519672000024,163.9519672000024,164.4382066000253,up,0,0.4824125000159256,None,1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
92,0,92,0,164.45174980000593,,164.4393266000261,164.45174980000593,165.45099760001176,165.45099760001176,166.1867145000142,up,1,0.7254553000093438,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
93,0,93,0,166.20092020000448,,166.18791670000064,166.20092020000448,167.20004130000598,167.20004130000598,168.01913630001945,down,1,0.8125219999928959,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
94,0,94,0,168.03298590000486,,168.0202818000107,168.03298590000486,169.0321429000178,169.0321429000178,169.58503780001774,up,1,0.547852799994871,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
95,0,95,0,169.59893070001272,,169.58648490000633,169.59893070001272,170.59794180002064,170.59794180002064,171.38436860000365,down,1,0.782250300020678,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
96,0,96,0,171.39730620000046,,171.3855824000202,171.39730620000046,172.39686510001775,172.39686510001775,173.08378920002724,down,1,0.6828271999838762,None,4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
97,0,97,0,173.0964441000251,,173.084903400013,173.0964441000251,174.0958894000214,174.0958894000214,174.59844790000352,up,1,0.49115940000046976,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
98,0,98,0,174.61232870002277,,174.59967850000248,174.61232870002277,175.61143700001412,175.61143700001412,176.1640188000165,up,1,0.5437965999881271,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
99,0,99,0,176.1778534000041,,176.16532890000963,176.1778534000041,177.17696979999891,177.17696979999891,177.5307747000188,up,1,0.3510126000037417,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
