stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
48,1,20.0,48.52476790000219,,48.50950049998937,48.52476790000219,49.025188600004185,49.025188600004185,49.025188600004185,49.3238524000044,49.7418302000151,right,20.0,0,0,0.7053841999731958,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
49,1,20.0,49.7571261000121,,49.741908100026194,49.7571261000121,50.24012169998605,50.24012169998605,50.25743769999826,50.54098639998119,50.64063929999247,right,20.0,0,0,0.3847838999936357,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
50,1,20.0,50.657534800004214,,50.64071479998529,50.657534800004214,51.14036409999244,51.14036409999244,51.15662640001392,51.440497700008564,51.60751260002144,right,20.0,0,0,0.4564791999873705,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
51,1,20.0,51.62233230000129,,51.607578700000886,51.62233230000129,52.123342100006994,52.123342100006994,52.123342100006994,52.421753800008446,52.40694620000431,left,-20.0,0,0,0.2727500000037253,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
52,1,20.0,52.421753800008446,,52.4070108999731,52.421753800008446,52.92235120001715,52.92235120001715,52.92235120001715,53.22280709998449,53.33993860002374,right,20.0,0,0,0.4063103999942541,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
53,1,20.0,53.3555769000086,,53.34000919997925,53.3555769000086,53.85582910000812,53.85582910000812,53.85582910000812,54.170872499991674,54.18976570002269,left,-20.0,0,0,0.3250937999691814,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
54,1,20.0,54.2058736999752,,54.1898362999782,54.2058736999752,54.70452929998282,54.70452929998282,54.720946500019636,55.00565499998629,55.08853479998652,right,20.0,0,0,0.3692929000244476,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
55,1,20.0,55.10414489998948,,55.088598700007424,55.10414489998948,55.603992699994706,55.603992699994706,55.603992699994706,55.9035383000155,56.07095389999449,right,20.0,0,0,0.45472560002235696,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
56,1,20.0,56.08705289999489,,56.071022399992216,56.08705289999489,56.56968269997742,56.56968269997742,56.58651509997435,56.87008959997911,57.00546840002062,left,-20.0,0,0,0.42894229997182265,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
57,1,20.0,57.01899730000878,,57.005612000008114,57.01899730000878,57.51940019999165,57.51940019999165,57.51940019999165,57.82034299999941,57.88636379997479,left,-20.0,0,0,0.3551267000148073,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
58,1,20.0,57.90241719997721,,57.88642880000407,57.90241719997721,58.40177830000175,58.40177830000175,58.40177830000175,58.70192969997879,58.87036549998447,left,-20.0,0,0,0.4663002000306733,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
59,1,20.0,58.88435349997599,,58.870448699977715,58.88435349997599,59.38479679997545,59.38479679997545,59.38479679997545,59.68546549999155,59.769121500023175,right,20.0,0,0,0.38288759998977184,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
60,1,20.0,59.78398820001166,,59.76920019998215,59.78398820001166,60.284701799973845,60.284701799973845,60.284701799973845,60.58363150001969,60.70124229998328,left,-20.0,0,0,0.4089996999828145,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
61,1,20.0,60.71686829999089,,60.70132619998185,60.71686829999089,61.21674639999401,61.21674639999401,61.21674639999401,61.51685499999439,61.61820770002669,right,20.0,0,0,0.3955233999877237,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
